Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
102.231,5.862749,1.740153,21.289527,21.778816,196.479564,126.702913,1.743695
102.564,1.308255,1.743695,0,0,196.479564,126.702913,1.743695
102.897,3.70009,1.743695,-5,5,196.479564,126.702913,1.816086
103.23,3.70009,1.816086,-5,5,196.479564,126.702913,1.888477
103.563,3.70009,1.888477,0,0,196.479564,126.702913,1.888477
103.896,8.699346,1.888477,20.689521,21.513378,194.284648,133.378093,1.894441
104.229,1.673753,1.894441,0,0,194.284648,133.378093,1.894441
104.562,6.672908,1.894441,-5,5,194.284648,133.378093,1.966832
104.895,6.672908,1.966832,22.583159,21.514268,191.45228,140.152007,1.959095
105.228,0.68331,1.959095,0,0,191.45228,140.152007,1.959095
105.561,4.325924,1.959095,20.693094,22.686721,188.71765,146.837047,1.973527
105.894,2.898751,1.973527,0,0,188.71765,146.837047,1.973527
106.227,2.151362,1.973527,-5,5,188.71765,146.837047,2.045918
106.56,2.151362,2.045918,-5,5,188.71765,146.837047,2.118309
106.893,2.151362,2.118309,-5,5,188.71765,146.837047,2.190701
107.226,2.151362,2.190701,0,0,188.71765,146.837047,2.190701
107.559,7.140954,2.190701,5,-5,188.71765,146.837047,2.118309
107.892,7.140954,2.118309,21.198063,21.516754,185.01538,152.909442,2.120616
108.225,0.138091,2.120616,0,0,185.01538,152.909442,2.120616
108.558,5.033585,2.120616,-5,5,185.01538,152.909442,2.193008
108.891,5.033585,2.193008,21.632214,20.560676,180.920907,158.617992,2.185251
109.224,1.993161,2.185251,0,0,180.920907,158.617992,2.185251
109.557,3.007299,2.185251,0,0,180.920907,158.617992,2.185251
109.89,8.002657,2.185251,20.395375,22.223248,176.829972,164.41605,2.198483
110.223,0.961953,2.198483,0,0,176.829972,164.41605,2.198483
110.556,5.937269,2.198483,-5,5,176.829972,164.41605,2.270874
110.889,5.937269,2.270874,-5,5,176.829972,164.41605,2.343266
111.222,5.937269,2.343266,20.78565,21.344615,171.93438,169.439897,2.347312
111.555,1.077446,2.347312,0,0,171.93438,169.439897,2.347312
111.888,3.922045,2.347312,0,0,171.93438,169.439897,2.347312
112.221,8.918865,2.347312,19.855252,23.209368,166.909476,174.554871,2.371593
112.554,1.769452,2.371593,0,0,166.909476,174.554871,2.371593
112.887,6.766085,2.371593,-5,5,166.909476,174.554871,2.443984
113.22,6.766085,2.443984,21.447125,21.817452,161.388813,179.182337,2.446665
113.553,0.473772,2.446665,0,0,161.388813,179.182337,2.446665
113.886,4.575285,2.446665,-5,5,161.388813,179.182337,2.519056
114.219,4.575285,2.519056,20.164455,23.468602,155.486789,183.418485,2.542975
114.552,2.694405,2.542975,0,0,155.486789,183.418485,2.542975
114.885,2.324155,2.542975,-5,5,155.486789,183.418485,2.615367
115.218,2.324155,2.615367,0,0,155.486789,183.418485,2.615367
115.551,7.322104,2.615367,22.023046,22.125164,149.130594,187.110535,2.616106
115.884,0.030259,2.616106,0,0,149.130594,187.110535,2.616106
116.217,4.971314,2.616106,20.219002,22.063917,143.04034,190.642092,2.629462
116.55,2.081541,2.629462,0,0,143.04034,190.642092,2.629462
116.883,2.974779,2.629462,-5,5,143.04034,190.642092,2.701853
117.216,2.974779,2.701853,-5,5,143.04034,190.642092,2.774244
117.549,2.974779,2.774244,-5,5,143.04034,190.642092,2.846635
117.882,2.974779,2.846635,0,0,143.04034,190.642092,2.846635
118.215,7.968962,2.846635,5,-5,143.04034,190.642092,2.774244
118.548,7.968962,2.774244,20.751362,22.55826,136.310388,193.231884,2.787325
118.881,0.759581,2.787325,0,0,136.310388,193.231884,2.787325
119.214,5.758499,2.787325,20.229509,21.592886,129.779384,195.647526,2.797194
119.547,1.212168,2.797194,0,0,129.779384,195.647526,2.797194
119.88,3.808941,2.797194,-5,5,129.779384,195.647526,2.869586
120.213,3.808941,2.869586,0,0,129.779384,195.647526,2.869586
120.546,8.808415,2.869586,20.207519,22.269254,122.967027,197.54763,2.884511
120.879,1.756847,2.884511,0,0,122.967027,197.54763,2.884511
121.212,6.751187,2.884511,-5,5,122.967027,197.54763,2.956902
121.545,6.751187,2.956902,20.344443,21.571643,116.10669,198.829275,2.965786
121.878,0.262469,2.965786,0,0,116.10669,198.829275,2.965786
122.211,4.778545,2.965786,-5,5,116.10669,198.829275,3.038177
122.544,4.778545,3.038177,21.398171,22.253625,108.877497,199.579563,3.04437
122.877,2.489766,3.04437,0,0,108.877497,199.579563,3.04437
123.21,2.509726,3.04437,0,0,108.877497,199.579563,3.04437
