Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
41.292,137.415481,0.005434,0.003949,0.746684,137.415481,1,9.491691,9.757291,64.904158,160.785401,-0.010845,202.319656,160.041848,-0.006896
41.625,133.620874,0.004999,0.003359,0.667925,133.620874,1,11.35576,11.437181,68.698959,160.744246,-0.010255,202.319656,160.041848,-0.006896
41.958,137.432935,0.002916,0.005875,0.400732,137.432935,1,9.868586,10.161286,72.033757,160.710046,-0.008136,209.462143,159.99259,-0.002261
42.291,133.585669,0.002682,0.005558,0.358293,133.585669,1,11.530391,11.574274,75.880557,160.678746,-0.007819,209.462143,159.99259,-0.002261
42.624,137.405122,-0.002182,0.007404,-0.299807,137.405122,1,9.532369,10.233712,79.171509,160.653015,-0.002742,216.576114,159.976507,0.004662
42.957,133.523688,-0.000252,0.009397,-0.033693,133.523688,1,11.7966,11.52129,83.053923,160.642371,-0.004735,216.576114,159.976507,0.004662
43.29,137.556747,-0.001671,-0.00063,-0.229875,137.556747,1,9.484428,9.749723,86.256373,160.627209,-0.002814,223.812575,160.010245,-0.003444
43.623,133.694572,0.001063,0.002152,0.142115,133.694572,1,11.794997,11.410644,90.120097,160.616336,-0.005596,223.812575,160.010245,-0.003444
43.956,137.603061,0.003782,0.008599,0.520402,137.603061,1,10.132084,9.767935,93.433398,160.597793,-0.008233,231.031796,159.985385,0.000366
44.289,133.777605,0.009092,0.013801,1.216364,133.777605,1,11.820749,11.102096,97.249922,160.566373,-0.013435,231.031796,159.985385,0.000366
44.622,137.39086,0.006972,0.013216,0.957894,137.39086,1,10.076916,10.434286,100.664729,160.520492,-0.010848,238.057897,159.987955,0.002368
44.955,140.646518,0.010194,0.008866,1.433824,140.646518,1,11.739015,11.363818,104.511125,160.478765,-0.013564,245.164153,160.004784,-0.004698
45.288,136.579479,0.007726,0.006094,1.055296,136.579479,1,12.032265,12.415117,108.581239,160.423555,-0.010792,245.164153,160.004784,-0.004698
45.621,140.376502,0.010347,0.01207,1.452519,140.376502,1,10.704994,10.357935,112.088013,160.385707,-0.013305,252.471415,159.970456,-0.001235
45.954,136.252822,0.010011,0.011421,1.364112,136.252822,1,12.341353,12.430983,116.212242,160.330831,-0.012656,252.471415,159.970456,-0.001235
46.287,139.93724,0.012208,0.022444,1.708423,139.93724,1,10.969353,10.711744,119.821855,160.285145,-0.014521,259.769149,159.961441,0.007923
46.62,136.036467,0.014042,0.023929,1.910391,136.036467,1,11.808509,11.603422,123.719531,160.228543,-0.016006,259.769149,159.961441,0.007923
46.953,139.774393,0.011984,0.012852,1.675094,139.774393,1,10.484485,10.889494,127.277842,160.171585,-0.013074,267.062189,160.019225,-0.000222
47.286,135.735589,0.013993,0.014505,1.899467,135.735589,1,12.233839,12.005497,131.313347,160.118824,-0.014727,267.062189,160.019225,-0.000222
47.619,139.403002,0.010371,-0.003413,1.445819,139.403002,1,10.451453,11.004965,134.885453,160.066215,-0.01072,274.295944,160.017618,-0.014133
47.952,135.416755,0.012386,-0.001704,1.677353,135.416755,1,12.080785,11.8446,138.868801,160.023513,-0.012429,274.295944,160.017618,-0.014133
48.285,139.322164,0.017253,0.014915,2.403985,139.322164,1,10.737518,10.004644,142.322104,159.980588,-0.017735,281.664991,159.913465,-0.00282
48.618,135.208664,0.017761,0.014898,2.401747,135.208664,1,12.35183,12.354116,146.434997,159.907638,-0.017718,281.664991,159.913465,-0.00282
48.951,138.914207,0.012894,0.018279,1.791192,138.914207,1,10.357922,11.072699,150.002636,159.844419,-0.012544,288.928382,159.892984,0.005735
49.284,134.973122,0.008314,0.013321,1.12214,134.973122,1,11.539923,12.224757,153.959144,159.794786,-0.007586,288.928382,159.892984,0.005735
