Time, R_x, R_y, R_Ori, KF_x, KF_y, KF_Ori, KF_q, KF_alpha
63.603000, 1.885478, 137.237353, 0.028551, 1.837202, 138.137002, -0.074477, 0.044681, -0.585987
63.936000, 2.361588, 140.691468, 0.038011, 2.104126, 139.765162, -0.021236, -0.136142, -0.697531
64.269000, 2.633102, 136.682084, 0.039998, 2.573790, 137.785704, -0.032901, 0.981113, -0.570113
64.602000, 2.119628, 140.498311, 0.010964, 2.257073, 139.512132, -0.056849, -0.448945, -0.043749
64.935000, 2.141971, 136.571667, 0.011127, 2.211182, 137.672511, -0.020289, -0.458869, -0.497186
65.268000, 2.275776, 132.888504, -0.060257, 2.298991, 134.691792, -0.116562, 0.126020, 0.268326
65.601000, 2.771462, 136.789934, -0.038996, 2.610101, 135.988784, -0.048545, 0.009062, 0.164803
65.934000, 1.614769, 133.030887, -0.047692, 1.912380, 134.164006, -0.024860, -0.513346, 0.005885
66.267000, 1.798378, 129.852741, 0.026113, 1.785980, 131.500712, 0.017470, -0.227828, -0.317791
66.600000, 1.858110, 134.153439, 0.044665, 1.800203, 133.141828, 0.006407, -0.477325, -0.707504
66.933000, 1.905048, 130.639166, 0.045025, 1.869286, 131.588999, -0.044948, -0.557290, -0.218669
67.266000, 2.115835, 134.592070, 0.034519, 1.919973, 133.469730, -0.002130, -0.782741, -0.402144
67.599000, 2.275505, 131.110663, 0.035737, 2.141386, 131.994016, -0.005459, 0.279011, -0.487068
67.932000, 2.509522, 135.293055, 0.007052, 2.357067, 134.044438, -0.039796, 0.237496, -0.083076
68.265000, 2.255717, 131.631326, 0.005124, 2.352533, 132.545556, -0.024074, 0.797838, 0.322973
68.598000, 2.309741, 128.583316, 0.077935, 2.423488, 130.094962, 0.018387, 0.787690, 0.325138
68.931000, 1.534677, 125.877450, 0.144169, 1.824446, 127.467118, 0.031974, 0.416557, 0.472221
69.264000, 1.522180, 123.287077, 0.216459, 1.576205, 124.818951, 0.014203, -0.089014, -0.068265
69.597000, 1.253765, 121.050377, 0.286633, 1.256840, 122.458215, 0.122719, -0.600150, 0.354764
69.930000, 1.862277, 118.944438, 0.364140, 1.594831, 120.276121, 0.310848, -0.549258, 0.455717
70.263000, 1.412112, 117.113623, 0.360296, 1.343723, 118.272808, 0.445003, -1.231997, 0.645545
70.596000, 4.506951, 121.891014, 0.387472, 3.578369, 120.649587, 0.417125, 1.018246, 0.338971
70.929000, 3.194129, 119.675782, 0.376502, 3.361047, 120.033468, 0.443817, 0.434446, 0.476802
71.262000, 3.215678, 117.741483, 0.449077, 3.195989, 118.543800, 0.456427, 0.056873, 0.176547
71.595000, 3.090404, 115.990255, 0.520390, 3.012011, 116.865685, 0.470328, -0.909140, -0.180738
71.928000, 3.099683, 114.386255, 0.592862, 2.884628, 115.236666, 0.530264, -1.541142, -0.086321
72.261000, 2.866668, 112.662095, 0.663184, 2.652704, 113.520266, 0.630225, -2.265117, 0.606235
72.594000, 6.756326, 116.601053, 0.644949, 5.457797, 115.531569, 0.663516, 1.260783, 0.088016
72.927000, 6.002292, 114.740929, 0.638376, 5.885407, 115.098000, 0.697217, 1.154411, -0.213982
73.260000, 5.605349, 113.146933, 0.707260, 5.694026, 113.864500, 0.696172, 0.331703, -0.417084
73.593000, 5.145971, 111.532258, 0.775531, 5.243498, 112.335969, 0.715844, -0.963202, -0.601357
73.926000, 5.182377, 109.930894, 0.848254, 5.028904, 110.735288, 0.747344, -1.281391, -0.251058
74.259000, 4.816310, 108.291956, 0.844873, 4.697569, 109.078565, 0.789097, -1.903427, 0.382546
74.592000, 5.410250, 106.583176, 0.922836, 4.963479, 107.329858, 0.982154, -2.269167, 0.999026
74.925000, 11.251140, 109.495248, 0.936238, 9.164072, 108.832887, 1.334013, 1.239002, 0.958123
75.258000, 10.821048, 107.803702, 0.932248, 10.180485, 108.271585, 1.289084, 0.858972, 1.367023
75.591000, 10.974160, 106.042734, 1.006083, 10.755362, 106.773851, 1.230540, -0.179082, 1.289936
75.924000, 8.162351, 105.703361, 1.051843, 9.081957, 106.056898, 1.458034, -0.663944, 1.224735
76.257000, 7.980077, 104.073997, 1.122483, 8.421823, 104.611680, 1.302298, -1.131741, 0.500866
